SHOT_ID_NUMBER,MATCH_ID,KNOCKOUT_MATCH,GAME_SEASON,OPPONENT,HOME_AWAY,DISTANCE_OF_SHOT,POWER_OF_SHOT,AREA_OF_SHOT,SHOT_BASICS,LOCATION_X,LOCATION_Y,REMAINING_MIN,IS_GOAL
63,21100769,0,2011-12,MANU vs. NOH,HOME,36,4,Left Side Center(LC),Mid Range,-112,115,6.95,0
64,21100769,0,2011-12,MANU vs. NOH,HOME,25,3,Center(C),Goal Line,50,26,6.4,1
65,21100769,0,2011-12,MANU vs. NOH,HOME,37,4,Right Side Center(RC),Mid Range,122,121,5.55,0
66,21100769,0,2011-12,MANU vs. NOH,HOME,45,4,Left Side Center(LC),Penalty Spot,-161,197,0.3333333333,1
67,49900071,1,1999-00,MANU @ POR,AWAY,35,3,Right Side(R),Mid Range,158,0,11.35,0
68,49900071,1,1999-00,MANU @ POR,AWAY,37,1,Right Side Center(RC),Mid Range,0,156,7.35,1
69,49900071,1,1999-00,MANU @ POR,AWAY,32,1,Left Side(L),Mid Range,-128,0,6.433333333,1
70,49900071,1,1999-00,MANU @ POR,AWAY,36,1,Left Side Center(LC),Mid Range,-76,143,4.966666667,1
71,49900071,1,1999-00,MANU @ POR,AWAY,33,1,Left Side(L),Mid Range,-134,-10,2.166666667,0
72,49900071,1,1999-00,MANU @ POR,AWAY,37,1,Right Side(R),Mid Range,164,46,0.8666666667,1
73,49900071,1,1999-00,MANU @ POR,AWAY,34,1,Center(C),Mid Range,1,149,0.2166666667,1
74,49900071,1,1999-00,MANU @ POR,AWAY,42,2,Left Side Center(LC),Mid Range,-70,214,67.606666667,0
75,49900071,1,1999-00,MANU @ POR,AWAY,20,2,Center(C),Goal Area,0,0,2.433333333,0
76,49900071,1,1999-00,MANU @ POR,AWAY,20,2,Center(C),Goal Area,0,0,2.383333333,0
77,49900071,1,1999-00,MANU @ POR,AWAY,37,2,Left Side Center(LC),Mid Range,-85,156,1.25,1
78,49900071,1,1999-00,MANU @ POR,AWAY,39,3,Left Side Center(LC),Mid Range,-119,149,9.416666667,0
79,49900071,1,1999-00,MANU @ POR,AWAY,26,3,Center(C),Goal Line,-57,27,4.066666667,1
80,49900071,1,1999-00,MANU @ POR,AWAY,44,4,Left Side Center(LC),Penalty Spot,-149,194,10.333333333,1
81,49900071,1,1999-00,MANU @ POR,AWAY,37,4,Right Side(R),Mid Range,179,-10,4.733333333,0
82,49900071,1,1999-00,MANU @ POR,AWAY,23,4,Center(C),Goal Area,1,33,2.65,1
83,21000805,0,2010-11,MANU @ ORL,AWAY,44,1,Right Side(R),Right Corner,234,58,10.05,1
84,21000805,0,2010-11,MANU @ ORL,AWAY,22,1,Center(C),Goal Area,0,22,8.4,0
85,21000805,0,2010-11,MANU @ ORL,AWAY,43,1,Right Side(R),Mid Range,230,50,9.17976,0
86,21000805,0,2010-11,MANU @ ORL,AWAY,31,1,Right Side(R),Mid Range,69,94,2.95,0
87,21000805,0,2010-11,MANU @ ORL,AWAY,28,1,Center(C),Goal Line,7,88,2.35,1
88,21000805,0,2010-11,MANU @ ORL,AWAY,22,2,Center(C),Goal Area,0,20,5.016666667,1
89,21000805,0,2010-11,MANU @ ORL,AWAY,40,2,Right Side Center(RC),Mid Range,111,175,3.366666667,1
90,21000805,0,2010-11,MANU @ ORL,AWAY,34,2,Left Side(L),Mid Range,-93,116,2.65,1
91,21000805,0,2010-11,MANU @ ORL,AWAY,58,2,Left Side Center(LC),Penalty Spot,-187,332,0,0
92,21000805,0,2010-11,MANU @ ORL,AWAY,38,3,Left Side Center(LC),Mid Range,-105,0,7.4,0
93,21000805,0,2010-11,MANU @ ORL,AWAY,40,3,Left Side Center(LC),Mid Range,-150,138,1.916666667,0
94,21000805,0,2010-11,MANU @ ORL,AWAY,32,3,Left Side(L),Mid Range,-122,34,1.15,1
95,21000805,0,2010-11,MANU @ ORL,AWAY,28,4,Center(C),Goal Line,2,82,4.6,1
96,21000805,0,2010-11,MANU @ ORL,AWAY,38,4,Center(C),Mid Range,-43,179,3.983333333,0
97,20800112,0,2008-09,MANU @ NOH,AWAY,38,1,Center(C),Mid Range,10,189,11.466666667,0
98,20800112,0,2008-09,MANU @ NOH,AWAY,28,1,Left Side(L),Goal Line,-48,0,7.3,0
99,20800112,0,2008-09,MANU @ NOH,AWAY,38,1,Right Side Center(RC),Mid Range,106,148,2.816666667,0
100,20800112,0,2008-09,MANU @ NOH,AWAY,20,2,Center(C),Goal Area,0,0,4.95,0
101,20800112,0,2008-09,MANU @ NOH,AWAY,38,3,Left Side Center(LC),Mid Range,-90,156,11.233333333,0
102,20800112,0,2008-09,MANU @ NOH,AWAY,20,3,Center(C),Goal Area,0,0,10.116666667,0
103,20800112,0,2008-09,MANU @ NOH,AWAY,36,3,Left Side Center(LC),Mid Range,-103,0,5.35,1
104,20800112,0,2008-09,MANU @ NOH,AWAY,40,3,Center(C),Mid Range,43,200,3.7,0
105,20800112,0,2008-09,MANU @ NOH,AWAY,38,4,Left Side(L),Mid Range,-161,82,6.683333333,0
106,20800112,0,2008-09,MANU @ NOH,AWAY,27,4,Center(C),Goal Line,-68,34,6.366666667,1
107,20800112,0,2008-09,MANU @ NOH,AWAY,39,4,Right Side Center(RC),Mid Range,110,167,4.7,0
108,20800112,0,2008-09,MANU @ NOH,AWAY,20,4,Center(C),Goal Area,0,0,1.683333333,0
109,20800112,0,2008-09,MANU @ NOH,AWAY,46,4,Left Side Center(LC),Penalty Spot,-163,214,1.133333333,1
110,21000107,0,2010-11,MANU vs. MIN,HOME,46,3,Left Side Center(LC),Penalty Spot,-160,206,10.8,0
111,21000107,0,2010-11,MANU vs. MIN,HOME,32,1,Right Side(R),Mid Range,103,72,10.5,1
112,21000107,0,2010-11,MANU vs. MIN,HOME,40,1,Right Side(R),Mid Range,176,104,94.59,0
113,21000107,0,2010-11,MANU vs. MIN,HOME,36,1,Left Side Center(LC),Mid Range,-128,0,7.95,0
114,21000107,0,2010-11,MANU vs. MIN,HOME,46,1,Right Side Center(RC),Penalty Spot,155,219,7.666666667,0
115,21000107,0,2010-11,MANU vs. MIN,HOME,41,1,Right Side Center(RC),Mid Range,133,172,4.366666667,1
116,21000107,0,2010-11,MANU vs. MIN,HOME,40,2,Right Side Center(RC),Mid Range,135,153,5.266666667,0
117,21000107,0,2010-11,MANU vs. MIN,HOME,36,2,Left Side(L),Mid Range,-153,56,1.95,1
118,21000107,0,2010-11,MANU vs. MIN,HOME,39,2,Left Side(L),Mid Range,-168,105,1.15,1
119,21000107,0,2010-11,MANU vs. MIN,HOME,44,2,Left Side Center(LC),Penalty Spot,-169,181,0.6,1
120,21000107,0,2010-11,MANU vs. MIN,HOME,42,2,Center(C),Mid Range,-60,217,0.03333333333,1
121,21000107,0,2010-11,MANU vs. MIN,HOME,39,1,Right Side Center(RC),Mid Range,141,140,11.616666667,0
122,21000107,0,2010-11,MANU vs. MIN,HOME,45,3,Left Side Center(LC),Penalty Spot,-172,0,11.75,1
123,21000107,0,2010-11,MANU vs. MIN,HOME,39,3,Center(C),Mid Range,29,195,8.083333333,1
124,21000107,0,2010-11,MANU vs. MIN,HOME,44,3,Right Side Center(RC),Mid Range,108,225,7.566666667,0
125,21000107,0,2010-11,MANU vs. MIN,HOME,38,3,Left Side(L),Mid Range,-188,7,3.916666667,0
126,21000107,0,2010-11,MANU vs. MIN,HOME,25,3,Center(C),Goal Line,-43,39,3.216666667,0
127,21000107,0,2010-11,MANU vs. MIN,HOME,26,4,Center(C),Goal Line,-13,63,7.283333333,0
128,21000107,0,2010-11,MANU vs. MIN,HOME,22,4,Center(C),Goal Area,-18,15,6.816666667,0
129,21000107,0,2010-11,MANU vs. MIN,HOME,30,4,Left Side(L),Mid Range,-92,41,2.933333333,0
130,21000107,0,2010-11,MANU vs. MIN,HOME,21,4,Center(C),Goal Area,0,6,1.883333333,0
131,21000107,0,2010-11,MANU vs. MIN,HOME,24,4,Center(C),Goal Line,18,37,1.133333333,0
132,21000107,0,2010-11,MANU vs. MIN,HOME,27,4,Center(C),Goal Line,-37,67,0.6833333333,1
133,29700419,0,1997-98,MANU vs. SAC,HOME,20,1,Right Side(R),Mid Range,111,16,0,0
134,29700419,0,1997-98,MANU vs. SAC,HOME,40,2,Left Side Center(LC),Mid Range,-100,175,11.533333333,0
135,29700419,0,1997-98,MANU vs. SAC,HOME,20,2,Center(C),Goal Area,0,0,10.9,0
136,29700419,0,1997-98,MANU vs. SAC,HOME,31,2,Right Side(R),Mid Range,111,25,8.633333333,1
137,29700419,0,1997-98,MANU vs. SAC,HOME,20,2,Center(C),Goal Area,0,0,7.983333333,0
138,29700419,0,1997-98,MANU vs. SAC,HOME,39,2,Right Side Center(RC),Mid Range,81,173,7.483333333,0
139,29700419,0,1997-98,MANU vs. SAC,HOME,28,2,Left Side(L),Mid Range,-89,-12,3.633333333,1
140,29700419,0,1997-98,MANU vs. SAC,HOME,20,2,Center(C),Goal Area,0,0,1.783333333,1
141,29700419,0,1997-98,MANU vs. SAC,HOME,20,4,Center(C),Mid Range,0,0,10.483333333,1
142,29700419,0,1997-98,MANU vs. SAC,HOME,46,4,Center(C),Penalty Spot,0,259,8.316666667,0
143,20301088,0,2003-04,MANU vs. HOU,HOME,31,1,Center(C),Goal Line,-8,118,10.683333333,0
144,20301088,0,2003-04,MANU vs. HOU,HOME,26,1,Center(C),Goal Line,0,63,9.016666667,1
145,20301088,0,2003-04,MANU vs. HOU,HOME,28,1,Right Side(R),Goal Line,72,38,3.283333333,0
146,20301088,0,2003-04,MANU vs. HOU,HOME,24,1,Center(C),Goal Line,-5,46,3.233333333,0
147,20301088,0,2003-04,MANU vs. HOU,HOME,37,2,Right Side Center(RC),Mid Range,131,117,10.85,1
148,20301088,0,2003-04,MANU vs. HOU,HOME,20,2,Center(C),Goal Area,0,0,10.166666667,1
149,20301088,0,2003-04,MANU vs. HOU,HOME,20,2,Center(C),Goal Area,0,0,8,1
150,20301088,0,2003-04,MANU vs. HOU,HOME,20,2,Center(C),Mid Range,0,0,5.716666667,1
151,20301088,0,2003-04,MANU vs. HOU,HOME,35,2,Left Side(L),Mid Range,-149,25,3.133333333,0
152,20301088,0,2003-04,MANU vs. HOU,HOME,33,2,Center(C),Goal Line,49,125,0.2333333333,0
153,20301088,0,2003-04,MANU vs. HOU,HOME,26,3,Center(C),Goal Line,-66,15,6.533333333,0
154,20301088,0,2003-04,MANU vs. HOU,HOME,44,3,Right Side Center(RC),Penalty Spot,195,141,4.45,1
155,20301088,0,2003-04,MANU vs. HOU,HOME,44,3,Right Side Center(RC),Penalty Spot,222,92,6.044006456,0
156,20301088,0,2003-04,MANU vs. HOU,HOME,20,3,Center(C),Goal Area,0,0,2.566666667,1
157,20301088,0,2003-04,MANU vs. HOU,HOME,20,3,Center(C),Goal Area,0,0,1.933333333,0
158,20301088,0,2003-04,MANU vs. HOU,HOME,20,4,Center(C),Goal Area,0,0,4.85,0
159,20301088,0,2003-04,MANU vs. HOU,HOME,28,4,Center(C),Goal Line,-23,84,4.816666667,1
160,20301088,0,2003-04,MANU vs. HOU,HOME,26,4,Center(C),Goal Line,-43,43,4.416666667,0
161,20700210,0,2007-08,MANU vs. SEA,HOME,39,1,Center(C),Mid Range,-23,0,9.216666667,1
162,20700210,0,2007-08,MANU vs. SEA,HOME,39,1,Right Side Center(RC),Mid Range,80,176,8.883333333,1
163,20700210,0,2007-08,MANU vs. SEA,HOME,33,1,Left Side(L),Mid Range,-131,17,6.95,0
164,20700210,0,2007-08,MANU vs. SEA,HOME,39,3,Right Side Center(RC),Mid Range,69,181,3.683333333,1
165,20700210,0,2007-08,MANU vs. SEA,HOME,23,1,Center(C),Goal Area,0,38,1.416666667,1
166,20700210,0,2007-08,MANU vs. SEA,HOME,31,2,Right Side(R),Mid Range,113,40,4.35,0
167,20700210,0,2007-08,MANU vs. SEA,HOME,26,2,Center(C),Goal Line,47,47,4.283333333,0
168,20700210,0,2007-08,MANU vs. SEA,HOME,46,2,Left Side Center(LC),Mid Range,-199,178,2.783333333,1
169,20700210,0,2007-08,MANU vs. SEA,HOME,34,2,Right Side(R),Mid Range,131,61,2.15,1
170,20700210,0,2007-08,MANU vs. SEA,HOME,27,3,Center(C),Goal Line,-48,0,11.216666667,0
171,20700210,0,2007-08,MANU vs. SEA,HOME,20,3,Center(C),Goal Area,0,0,9.083333333,0
172,20700210,0,2007-08,MANU vs. SEA,HOME,38,3,Left Side Center(LC),Mid Range,-107,151,8.75,0
173,20700210,0,2007-08,MANU vs. SEA,HOME,40,3,Right Side(R),Mid Range,186,74,6.383333333,0
174,20700210,0,2007-08,MANU vs. SEA,HOME,36,3,Right Side Center(RC),Mid Range,73,150,4.4,0
175,20700210,0,2007-08,MANU vs. SEA,HOME,20,3,Center(C),Goal Area,0,0,3.733333333,1
176,20700210,0,2007-08,MANU vs. SEA,HOME,36,3,Right Side Center(RC),Mid Range,120,0,2.883333333,1
177,20700210,0,2007-08,MANU vs. SEA,HOME,41,4,Right Side Center(RC),Mid Range,90,196,3.85,1
178,20700210,0,2007-08,MANU vs. SEA,HOME,35,4,Right Side(R),Mid Range,151,7,3.333333333,1
179,21000535,0,2010-11,MANU vs. NOH,HOME,36,3,Left Side Center(LC),Mid Range,-82,0,4.716666667,0
180,21000535,0,2010-11,MANU vs. NOH,HOME,41,1,Right Side Center(RC),Mid Range,174,131,3.733333333,1
181,21000535,0,2010-11,MANU vs. NOH,HOME,39,1,Left Side(L),Mid Range,-157,113,2,0
182,21000535,0,2010-11,MANU vs. NOH,HOME,28,2,Center(C),Goal Line,13,86,6.333333333,1
183,21000535,0,2010-11,MANU vs. NOH,HOME,46,2,Center(C),Penalty Spot,-201,176,2.466666667,0
184,21000535,0,2010-11,MANU vs. NOH,HOME,40,3,Right Side(R),Mid Range,200,-14,0.8166666667,1
185,21000535,0,2010-11,MANU vs. NOH,HOME,43,3,Right Side Center(RC),Mid Range,92,214,11.533333333,0
186,21000535,0,2010-11,MANU vs. NOH,HOME,23,3,Center(C),Mid Range,23,26,8.566666667,0
187,21000535,0,2010-11,MANU vs. NOH,HOME,45,1,Right Side Center(RC),Penalty Spot,149,208,11.716666667,1
188,21000535,0,2010-11,MANU vs. NOH,HOME,45,3,Right Side Center(RC),Penalty Spot,132,219,6.316666667,0
189,21000535,0,2010-11,MANU vs. NOH,HOME,26,3,Center(C),Goal Line,-4,61,1.15,1
190,21000535,0,2010-11,MANU vs. NOH,HOME,25,3,Center(C),Goal Line,-18,55,0.05,1
191,21000535,0,2010-11,MANU vs. NOH,HOME,30,4,Center(C),Goal Line,32,99,8.433333333,1
192,21000535,0,2010-11,MANU vs. NOH,HOME,43,4,Left Side(L),Left Corner,-234,-2,5.65,0
193,21000535,0,2010-11,MANU vs. NOH,HOME,41,4,Left Side(L),Mid Range,-190,105,2.216666667,0
194,21000535,0,2010-11,MANU vs. NOH,HOME,26,4,Center(C),Goal Line,-46,45,103.023333333,1
195,21000535,0,2010-11,MANU vs. NOH,HOME,29,4,Center(C),Mid Range,28,93,0.6166666667,0
196,21501228,0,2015-16,MANU vs. UTA,HOME,44,1,Right Side Center(RC),Penalty Spot,137,203,11.416666667,0
197,21501228,0,2015-16,MANU vs. UTA,HOME,39,1,Right Side(R),Mid Range,199,11,10.733333333,0
198,21501228,0,2015-16,MANU vs. UTA,HOME,21,1,Center(C),Goal Area,19,2,8.983333333,0
199,21501228,0,2015-16,MANU vs. UTA,HOME,24,1,Center(C),Goal Line,6,46,7.666666667,0
200,21501228,0,2015-16,MANU vs. UTA,HOME,37,1,Left Side Center(LC),Mid Range,-61,165,5.566666667,0
201,21501228,0,2015-16,MANU vs. UTA,HOME,30,1,Left Side(L),Mid Range,-104,7,5.2,1
202,21501228,0,2015-16,MANU vs. UTA,HOME,35,1,Center(C),Mid Range,-32,154,4.75,1
203,21501228,0,2015-16,MANU vs. UTA,HOME,22,1,Center(C),Goal Area,-17,-11,4.233333333,1
204,21501228,0,2015-16,MANU vs. UTA,HOME,43,1,Right Side Center(RC),Penalty Spot,195,139,3,1
205,21501228,0,2015-16,MANU vs. UTA,HOME,45,1,Left Side Center(LC),Penalty Spot,-166,188,1.25,0
206,21501228,0,2015-16,MANU vs. UTA,HOME,43,1,Center(C),Penalty Spot,-34,0,0.6,0
207,21501228,0,2015-16,MANU vs. UTA,HOME,42,2,Left Side(L),Left Corner,-223,-11,5.966666667,0
208,21501228,0,2015-16,MANU vs. UTA,HOME,20,2,Center(C),Goal Area,6,-5,4.933333333,1
209,21501228,0,2015-16,MANU vs. UTA,HOME,44,2,Left Side Center(LC),Penalty Spot,-156,0,3.65,1
210,21501228,0,2015-16,MANU vs. UTA,HOME,46,2,Left Side Center(LC),Penalty Spot,-183,193,3.133333333,0
211,21501228,0,2015-16,MANU vs. UTA,HOME,21,2,Center(C),Goal Area,-19,-1,1.4,0
212,21501228,0,2015-16,MANU vs. UTA,HOME,31,2,Center(C),Goal Line,40,111,0,0
213,21501228,0,2015-16,MANU vs. UTA,HOME,20,3,Center(C),Goal Area,-2,7,10.55,1
214,21501228,0,2015-16,MANU vs. UTA,HOME,28,3,Left Side(L),Goal Line,-45,75,10.15,1
215,21501228,0,2015-16,MANU vs. UTA,HOME,45,3,Left Side Center(LC),Penalty Spot,-96,237,9.75,0
216,21501228,0,2015-16,MANU vs. UTA,HOME,51,3,Center(C),Penalty Spot,-32,313,9,0
217,21501228,0,2015-16,MANU vs. UTA,HOME,45,3,Right Side Center(RC),Penalty Spot,82,237,7.6,0
218,21501228,0,2015-16,MANU vs. UTA,HOME,46,3,Center(C),Penalty Spot,-187,193,6.65,0
219,21501228,0,2015-16,MANU vs. UTA,HOME,21,3,Center(C),Goal Area,15,3,5.6,1
220,21501228,0,2015-16,MANU vs. UTA,HOME,32,3,Right Side(R),Mid Range,0,-6,5.05,1
221,21501228,0,2015-16,MANU vs. UTA,HOME,42,3,Right Side(R),Right Corner,228,26,4.2,1
222,21501228,0,2015-16,MANU vs. UTA,HOME,44,3,Right Side Center(RC),Penalty Spot,179,169,3.016666667,0
223,21501228,0,2015-16,MANU vs. UTA,HOME,21,3,Center(C),Goal Area,-16,0,1.016666667,1
224,21501228,0,2015-16,MANU vs. UTA,HOME,46,3,Left Side Center(LC),Penalty Spot,-168,205,0.03333333333,0
225,21501228,0,2015-16,MANU vs. UTA,HOME,43,4,Left Side(L),Left Corner,-237,-10,11.3,0
226,21501228,0,2015-16,MANU vs. UTA,HOME,20,4,Center(C),Goal Area,6,-1,10.066666667,0
227,21501228,0,2015-16,MANU vs. UTA,HOME,45,4,Left Side Center(LC),Penalty Spot,-168,198,9.516666667,1
228,21501228,0,2015-16,MANU vs. UTA,HOME,44,4,Center(C),Penalty Spot,43,237,8.966666667,1
229,21501228,0,2015-16,MANU vs. UTA,HOME,44,3,Right Side Center(RC),Penalty Spot,166,180,8.366666667,0
230,21501228,0,2015-16,MANU vs. UTA,HOME,31,4,Center(C),Goal Line,-7,111,5.683333333,1
231,21501228,0,2015-16,MANU vs. UTA,HOME,29,4,Right Side(R),Goal Line,0,85,5.083333333,0
232,21501228,0,2015-16,MANU vs. UTA,HOME,28,4,Left Side(L),Mid Range,-83,-11,4.45,0
233,21501228,0,2015-16,MANU vs. UTA,HOME,20,4,Center(C),Goal Area,-7,-6,3.866666667,0
234,21501228,0,2015-16,MANU vs. UTA,HOME,20,4,Center(C),Goal Area,6,-6,4.403333333,1
235,21501228,0,2015-16,MANU vs. UTA,HOME,20,4,Center(C),Mid Range,-7,2,1.75,1
236,20000058,0,2000-01,MANU @ HOU,AWAY,43,1,Right Side(R),Right Corner,231,57,8.283333333,0
237,20000058,0,2000-01,MANU @ HOU,AWAY,20,1,Center(C),Goal Area,0,0,7.883333333,1
238,20000058,0,2000-01,MANU @ HOU,AWAY,20,1,Center(C),Goal Area,0,0,7.016666667,1
239,20000058,0,2000-01,MANU @ HOU,AWAY,20,2,Center(C),Goal Area,0,0,7.933333333,1
240,20000058,0,2000-01,MANU @ HOU,AWAY,27,2,Center(C),Mid Range,51,57,2.666666667,0
241,20000058,0,2000-01,MANU @ HOU,AWAY,45,2,Right Side Center(RC),Penalty Spot,167,190,0.1666666667,0
242,20000058,0,2000-01,MANU @ HOU,AWAY,25,3,Center(C),Goal Line,16,57,9.166666667,0
243,20000058,0,2000-01,MANU @ HOU,AWAY,33,3,Left Side(L),Mid Range,-84,110,7.4,0
244,20000058,0,2000-01,MANU @ HOU,AWAY,28,3,Left Side(L),Goal Line,-71,42,0.01666666667,0
