SHOT_ID_NUMBER,MATCH_ID,DISTANCE_OF_SHOT,POWER_OF_SHOT,AREA_OF_SHOT,SHOT_BASICS,LOCATION_X,LOCATION_Y,REMAINING_MIN,IS_GOAL,TIMESTAMP
49,20000058,43,1,3,3,231,57,8.283333333,0,2022-10-09
51,20000058,20,1,1,4,0,0,7.016666667,1,2022-10-09
52,20000058,20,2,1,4,0,0,7.933333333,1,2022-10-09
53,20000058,27,2,1,5,51,57,2.666666667,0,2022-10-09
54,20000058,25,3,1,1,16,57,9.166666667,0,2022-10-09
55,20000058,33,3,5,5,-84,110,7.4,0,2022-10-09
56,20000058,28,3,5,1,-71,42,0.01666666667,0,2022-10-09
57,20000058,33,4,1,1,30,133,5.016666667,1,2022-10-09
50,20000058,20,1,1,4,0,0,7.883333333,1,2022-10-09
64,20000068,35,1,1,5,-1,156,1.416666667,1,2022-10-09
69,20000068,34,3,3,5,140,0,0.8,1,2022-10-09
74,20000068,32,3,3,5,119,19,3,0,2022-10-09
59,20000068,44,1,2,2,132,211,11.683333333,0,2022-10-09
60,20000068,20,1,1,4,-8,4,10.983333333,0,2022-10-09
73,20000068,37,3,2,5,119,133,6.666666667,1,2022-10-09
61,20000068,39,1,1,5,-29,188,5.9,1,2022-10-09
62,20000068,35,1,3,5,140,76,2.4,1,2022-10-09
63,20000068,34,1,3,5,140,0,1.8,1,2022-10-09
75,20000068,39,3,5,5,-193,42,0.8,0,2022-10-09
65,20000068,33,2,3,5,110,76,10.95,0,2022-10-09
66,20000068,35,2,3,5,132,87,9.616666667,0,2022-10-09
67,20000068,45,2,1,2,-58,251,3.833333333,1,2022-10-09
68,20000068,44,2,4,2,-193,150,1.02,0,2022-10-09
70,20000068,24,3,1,1,0,9,11.433333333,0,2022-10-09
72,20000068,20,3,1,4,-1,0,7.883333333,1,2022-10-09
71,20000068,35,3,1,5,24,150,9.333333333,0,2022-10-09
76,20000068,37,3,5,5,-166,55,0.35,0,2022-10-09
77,20000068,31,4,1,1,24,116,10.65,0,2022-10-09
78,20000068,36,4,4,5,-65,156,7.133333333,0,2022-10-09
79,20000068,36,4,5,5,-166,26,6.416666667,1,2022-10-09
80,20000068,29,4,5,1,-58,76,5.233333333,0,2022-10-09
85,20000098,20,1,1,4,0,0,3.033333333,1,2022-10-09
103,20000098,20,4,1,4,0,0,1.05,0,2022-10-09
102,20000098,25,4,1,1,9,59,1.633333333,1,2022-10-09
101,20000098,20,4,1,4,0,0,3.466666667,1,2022-10-09
100,20000098,25,4,1,1,9,59,4.95,0,2022-10-09
99,20000098,31,4,5,5,-84,82,6.566666667,0,2022-10-09
98,20000098,24,4,1,1,9,40,10.866666667,0,2022-10-09
97,20000098,37,3,4,5,-119,133,0.2333333333,0,2022-10-09
96,20000098,31,3,1,1,-48,106,3.55,1,2022-10-09
95,20000098,29,3,1,1,16,89,3.666666667,0,2022-10-09
94,20000098,37,3,5,5,-178,-8,3.85,0,2022-10-09
93,20000098,35,3,5,5,-84,133,4.566666667,0,2022-10-09
88,20000098,38,2,4,5,0,158,8.833333333,1,2022-10-09
86,20000098,20,1,1,4,0,0,0.7333333333,1,2022-10-09
87,20000098,36,1,2,5,85,141,0.35,0,2022-10-09
89,20000098,20,2,1,4,0,0,0.5,1,2022-10-09
90,20000098,47,2,1,2,1,276,0.06666666667,1,2022-10-09
91,20000098,35,3,3,5,155,-8,8.633333333,1,2022-10-09
84,20000098,20,1,1,4,0,0,9.35,0,2022-10-09
83,20000098,20,1,1,4,0,0,9.383333333,0,2022-10-09
81,20000098,41,1,4,5,-94,188,11.15,0,2022-10-09
92,20000098,35,3,5,5,-155,13,5.3,1,2022-10-09
82,20000098,20,1,1,4,0,0,10.283333333,0,2022-10-09
105,20000108,20,1,1,4,0,0,3.133333333,1,2022-10-09
118,20000108,20,4,1,4,0,0,10.183333333,1,2022-10-09
114,20000108,27,3,1,1,1,72,5.383333333,0,2022-10-09
112,20000108,20,2,1,4,0,0,37.106666667,0,2022-10-09
111,20000108,20,2,1,4,0,0,1.9,0,2022-10-09
110,20000108,40,2,2,5,100,175,9.116666667,1,2022-10-09
109,20000108,47,2,2,2,108,249,10.316666667,0,2022-10-09
108,20000108,38,2,3,5,167,78,11.266666667,0,2022-10-09
107,20000108,33,1,5,5,-98,97,0.8,1,2022-10-09
106,20000108,32,1,3,5,129,-4,2.416666667,1,2022-10-09
104,20000108,20,1,1,4,0,0,7.716666667,0,2022-10-09
115,20000108,20,3,1,4,0,0,0.6166666667,1,2022-10-09
119,20000108,20,4,1,4,0,0,5.616666667,0,2022-10-09
117,20000108,20,4,1,4,0,0,10.466666667,1,2022-10-09
116,20000108,45,3,2,2,113,230,113.356666667,1,2022-10-09
113,20000108,40,3,2,5,115,169,10.383333333,0,2022-10-09
131,20000124,67,2,6,7,47,477,0,0,2022-10-09
135,20000124,44,4,1,2,11,247,9.3,0,2022-10-09
136,20000124,45,4,4,2,-103,230,5.716666667,0,2022-10-09
126,20000124,40,1,3,5,163,116,1.083333333,0,2022-10-09
134,20000124,44,3,2,2,0,236,0.01666666667,0,2022-10-09
140,20000124,41,5,4,5,-73,200,0.4,1,2022-10-09
139,20000124,30,5,1,1,13,100,2.116666667,0,2022-10-09
138,20000124,29,5,1,1,-10,99,2.083333333,1,2022-10-09
133,20000124,39,3,3,5,199,13,2.916666667,0,2022-10-09
132,20000124,33,3,1,1,11,137,8.866666667,0,2022-10-09
130,20000124,36,2,3,5,134,93,0.3166666667,0,2022-10-09
129,20000124,38,2,1,5,91,156,0.8666666667,0,2022-10-09
128,20000124,36,2,3,5,169,-2,6.45,1,2022-10-09
127,20000124,41,2,2,5,113,179,8.216666667,1,2022-10-09
124,20000124,20,1,1,4,0,0,7.716666667,0,2022-10-09
123,20000124,27,1,1,1,70,36,8.266666667,0,2022-10-09
122,20000124,36,1,5,5,0,-2,8.883333333,0,2022-10-09
121,20000124,41,1,4,5,-117,184,112.756666667,0,2022-10-09
120,20000124,41,1,2,5,98,194,11.7,1,2022-10-09
137,20000124,44,4,1,2,-31,247,0.03333333333,1,2022-10-09
125,20000124,25,1,1,1,-37,42,2.783333333,1,2022-10-09
142,20000140,45,1,2,5,188,177,9.116666667,0,2022-10-09
148,20000140,45,2,2,2,159,200,6.183333333,1,2022-10-09
158,20000140,29,4,1,1,-42,87,0.7666666667,0,2022-10-09
152,20000140,35,3,1,5,-4,150,6.4,1,2022-10-09
151,20000140,36,3,3,5,167,-6,8.583333333,0,2022-10-09
150,20000140,49,3,4,2,-162,245,11.283333333,0,2022-10-09
149,20000140,36,2,3,5,167,0,0.35,0,2022-10-09
147,20000140,39,2,2,5,115,160,6.85,1,2022-10-09
146,20000140,29,2,1,1,1,93,11.316666667,0,2022-10-09
145,20000140,20,1,1,4,0,0,4.15,1,2022-10-09
144,20000140,38,1,4,5,-128,137,4.366666667,0,2022-10-09
143,20000140,20,1,1,4,0,0,8.25,0,2022-10-09
141,20000140,39,1,4,5,0,184,10.083333333,1,2022-10-09
157,20000140,28,4,1,1,37,82,1.3,1,2022-10-09
156,20000140,20,4,1,4,0,0,7.166666667,1,2022-10-09
155,20000140,20,4,1,4,0,0,11.166666667,0,2022-10-09
154,20000140,34,3,5,6,-229,19,0.7833333333,1,2022-10-09
153,20000140,43,3,3,3,237,19,3.35,1,2022-10-09
174,20000147,41,4,5,5,-208,-29,0.5166666667,0,2022-10-09
159,20000147,44,1,1,2,28,247,9.05,0,2022-10-09
164,20000147,20,3,1,4,0,0,10.316666667,1,2022-10-09
160,20000147,20,1,1,4,0,0,3.166666667,1,2022-10-09
173,20000147,28,4,1,1,-25,76,2.333333333,1,2022-10-09
172,20000147,20,4,1,4,0,0,10.133333333,0,2022-10-09
170,20000147,49,4,4,5,-132,184,10.866666667,0,2022-10-09
169,20000147,47,4,2,2,115,245,11.216666667,0,2022-10-09
168,20000147,20,3,1,4,0,0,1.566666667,0,2022-10-09
167,20000147,32,3,1,1,30,125,6.716666667,0,2022-10-09
166,20000147,40,3,2,5,142,141,7.366666667,1,2022-10-09
165,20000147,38,3,2,5,79,163,9.75,0,2022-10-09
163,20000147,20,3,1,4,0,0,11.4,1,2022-10-09
162,20000147,43,3,2,5,142,184,0.7333333333,0,2022-10-09
161,20000147,20,1,1,4,0,0,0.2166666667,0,2022-10-09
171,20000147,20,4,1,4,0,0,10.2,0,2022-10-09
183,20000168,38,2,4,5,-63,171,9.266666667,1,2022-10-09
187,20000168,88,3,1,4,0,0,9.2,1,2022-10-09
188,20000168,46,3,2,2,115,236,6.516666667,1,2022-10-09
189,20000168,36,3,3,5,163,7,5.333333333,0,2022-10-09
182,20000168,20,2,1,4,0,0,10.283333333,1,2022-10-09
190,20000168,20,3,1,4,0,0,2.1,0,2022-10-09
191,20000168,20,3,1,4,0,0,2,1,2022-10-09
192,20000168,20,3,1,4,0,0,1.433333333,1,2022-10-09
186,20000168,20,3,1,4,0,0,9.866666667,1,2022-10-09
185,20000168,38,2,2,5,64,0,2.5,1,2022-10-09
176,20000168,38,1,1,5,-48,175,8,0,2022-10-09
177,20000168,45,1,1,2,0,247,4.966666667,0,2022-10-09
175,20000168,38,1,4,5,-105,148,10.083333333,1,2022-10-09
178,20000168,20,1,1,4,0,0,2.6,1,2022-10-09
179,20000168,20,1,1,4,0,0,2.333333333,0,2022-10-09
180,20000168,20,1,1,4,0,0,2.133333333,1,2022-10-09
181,20000168,46,1,2,2,142,226,1.716666667,1,2022-10-09
184,20000168,20,2,1,4,0,0,3.566666667,1,2022-10-09
194,20000180,30,1,1,5,-105,-2,7.55,1,2022-10-09
193,20000180,27,1,1,5,64,40,10.55,0,2022-10-09
204,20000180,34,4,3,5,127,61,9.833333333,0,2022-10-09
203,20000180,45,4,2,2,184,171,11.633333333,1,2022-10-09
202,20000180,37,3,1,5,28,175,0.35,1,2022-10-09
201,20000180,43,3,3,3,235,23,2.7,0,2022-10-09
200,20000180,20,3,1,4,0,0,5.966666667,1,2022-10-09
199,20000180,40,3,4,5,-132,154,6.4,0,2022-10-09
198,20000180,20,3,1,4,0,0,9.75,1,2022-10-09
197,20000180,33,1,5,5,-132,2,1.066666667,1,2022-10-09
196,20000180,31,1,3,1,64,95,3.933333333,1,2022-10-09
195,20000180,20,1,1,4,0,0,5.866666667,1,2022-10-09
205,20000180,29,4,1,1,28,89,9.6,1,2022-10-09
206,20000180,42,4,4,5,-84,213,7.5,1,2022-10-09
207,20000180,38,4,1,5,-119,144,5.4,1,2022-10-09
215,20000198,20,2,1,4,0,0,1.65,1,2022-10-09
209,20000198,20,1,1,4,0,0,7.233333333,1,2022-10-09
210,20000198,35,1,3,5,127,0,6.283333333,0,2022-10-09
211,20000198,46,1,4,2,-143,219,5.733333333,1,2022-10-09
212,20000198,36,2,2,5,77,141,7.3,1,2022-10-09
213,20000198,27,2,1,1,-6,70,6.583333333,1,2022-10-09
208,20000198,31,1,1,1,0,110,10.416666667,0,2022-10-09
214,20000198,20,2,1,5,0,0,2.133333333,1,2022-10-09
216,20000198,45,2,2,2,144,215,0.6,1,2022-10-09
222,20000198,40,4,3,5,201,11,11.116666667,1,2022-10-09
221,20000198,20,3,1,4,0,0,0.9,0,2022-10-09
220,20000198,25,3,1,1,-56,21,2.25,1,2022-10-09
219,20000198,45,3,2,2,153,0,3.7,0,2022-10-09
218,20000198,29,3,5,1,-48,78,4.883333333,1,2022-10-09
217,20000198,47,3,2,2,0,259,7.333333333,0,2022-10-09
224,20000206,46,1,2,2,123,232,5,1,2022-10-09
225,20000206,40,1,4,5,-157,137,3.5,1,2022-10-09
226,20000206,37,2,2,5,138,110,11.133333333,0,2022-10-09
223,20000206,44,1,3,3,0,34,9.7,1,2022-10-09
242,20000206,47,3,4,2,-160,224,10.1,1,2022-10-09
241,20000206,35,4,1,1,-67,135,10.533333333,0,2022-10-09
238,20000206,38,3,4,5,-124,135,2.316666667,1,2022-10-09
227,20000206,37,2,2,5,102,137,8.666666667,0,2022-10-09
228,20000206,38,2,3,5,186,17,3.783333333,0,2022-10-09
229,20000206,20,2,1,5,0,0,2.9,1,2022-10-09
230,20000206,20,3,1,5,0,0,8.366666667,1,2022-10-09
231,20000206,48,3,2,2,142,245,7.366666667,0,2022-10-09
232,20000206,27,3,1,5,-33,70,6.866666667,0,2022-10-09
233,20000206,24,3,1,1,-12,42,6.8,0,2022-10-09
234,20000206,34,3,3,5,121,104,4.966666667,0,2022-10-09
235,20000206,20,3,1,4,0,0,4.05,1,2022-10-09
236,20000206,38,3,2,5,79,163,3.3,0,2022-10-09
237,20000206,29,3,5,5,0,0,2.95,0,2022-10-09
239,20000206,20,3,1,4,0,0,1.25,0,2022-10-09
240,20000206,62,3,6,2,108,0,0,0,2022-10-09
247,20000222,68,1,6,7,-150,0,0,0,2022-10-09
248,20000222,23,2,1,4,0,19,9,0,2022-10-09
249,20000222,23,2,1,4,-35,0,1.9,0,2022-10-09
252,20000222,38,3,2,5,60,177,3.75,1,2022-10-09
246,20000222,45,1,1,2,-50,245,0.4,0,2022-10-09
245,20000222,23,1,1,4,-29,19,0.8,1,2022-10-09
244,20000222,35,1,5,5,-101,116,7.166666667,0,2022-10-09
243,20000222,32,1,1,5,-122,15,8.616666667,0,2022-10-09
250,20000222,20,3,1,4,0,0,9.616666667,1,2022-10-09
253,20000222,20,3,1,4,0,0,1.466666667,1,2022-10-09
251,20000222,46,3,2,2,167,207,9.1,0,2022-10-09
264,20000230,39,2,2,5,159,116,4.233333333,1,2022-10-09
273,20000230,20,4,1,4,0,0,11,1,2022-10-09
274,20000230,28,4,5,1,-58,68,9.7,1,2022-10-09
275,20000230,28,4,3,1,60,61,9.116666667,1,2022-10-09
276,20000230,25,4,1,1,-50,17,6.816666667,0,2022-10-09
261,20000230,33,1,3,5,123,55,2,0,2022-10-09
272,20000230,41,4,2,5,75,198,11.7,0,2022-10-09
270,20000230,36,3,2,5,66,154,0.6166666667,1,2022-10-09
269,20000230,24,3,1,1,-23,40,3.133333333,0,2022-10-09
268,20000230,35,3,5,1,-79,133,4.683333333,1,2022-10-09
267,20000230,20,3,1,4,0,0,5.983333333,1,2022-10-09
266,20000230,39,3,1,5,5,198,9.166666667,0,2022-10-09
265,20000230,35,3,1,5,32,148,11.583333333,1,2022-10-09
271,20000230,47,3,4,2,-86,257,0,1,2022-10-09
263,20000230,37,2,5,5,-170,-15,4.666666667,0,2022-10-09
262,20000230,20,1,1,4,0,0,0.1166666667,0,2022-10-09
279,20000230,40,4,4,5,-136,160,0.85,1,2022-10-09
278,20000230,40,4,1,5,0,209,4,0,2022-10-09
254,20000230,46,1,4,2,-86,253,9.566666667,0,2022-10-09
255,20000230,38,1,3,5,172,68,7.466666667,1,2022-10-09
256,20000230,25,1,1,1,-50,28,6.583333333,0,2022-10-09
257,20000230,38,1,4,5,-86,165,5.5,1,2022-10-09
258,20000230,28,1,5,1,-79,28,4.833333333,0,2022-10-09
259,20000230,20,1,1,4,0,0,4.066666667,1,2022-10-09
260,20000230,34,1,1,5,18,144,2.55,0,2022-10-09
277,20000230,20,4,1,4,0,0,6.633333333,1,2022-10-09
296,20000246,35,3,5,5,-149,28,3.416666667,0,2022-10-09
295,20000246,40,3,4,5,-92,186,4.083333333,1,2022-10-09
294,20000246,50,3,4,2,-98,285,6.283333333,0,2022-10-09
292,20000246,28,2,1,5,11,89,0.4166666667,1,2022-10-09
291,20000246,20,2,1,4,0,0,1.166666667,0,2022-10-09
290,20000246,42,2,5,5,-185,127,1.816666667,1,2022-10-09
289,20000246,39,2,1,5,11,198,5.3,0,2022-10-09
288,20000246,43,2,3,5,237,2,8.8,0,2022-10-09
287,20000246,25,2,1,1,-16,55,8.883333333,0,2022-10-09
286,20000246,28,2,1,1,11,82,8.95,0,2022-10-09
285,20000246,31,1,3,5,110,13,107.683333333,1,2022-10-09
293,20000246,20,3,1,4,0,0,10.533333333,1,2022-10-09
283,20000246,34,1,5,5,-149,2,6.766666667,0,2022-10-09
282,20000246,29,1,1,1,39,82,8.566666667,1,2022-10-09
281,20000246,35,1,3,5,87,133,9.183333333,0,2022-10-09
280,20000246,34,1,1,1,60,127,10.433333333,1,2022-10-09
301,20000246,35,4,5,5,-115,0,7.516666667,1,2022-10-09
300,20000246,20,4,1,4,0,0,8.583333333,1,2022-10-09
299,20000246,20,3,1,4,0,0,0,1,2022-10-09
298,20000246,33,3,3,5,138,13,0.2833333333,0,2022-10-09
297,20000246,28,3,3,1,75,28,3.05,1,2022-10-09
284,20000246,46,1,2,2,110,243,5.433333333,1,2022-10-09
321,20000258,36,4,1,5,-1,160,10.216666667,0,2022-10-09
315,20000258,39,3,2,5,123,148,9.45,0,2022-10-09
317,20000258,38,3,4,5,-122,137,6.6,1,2022-10-09
307,20000258,34,3,1,5,5,205,11.35,0,2022-10-09
314,20000258,42,2,5,5,0,0,0,0,2022-10-09
313,20000258,28,2,1,5,33,78,2.566666667,0,2022-10-09
302,20000258,20,1,1,4,0,0,9.95,1,2022-10-09
303,20000258,37,1,4,5,-65,0,7.45,1,2022-10-09
304,20000258,35,1,3,5,81,133,6.8,1,2022-10-09
305,20000258,37,1,2,5,138,110,3.55,0,2022-10-09
306,20000258,65,1,2,2,231,394,0,0,2022-10-09
319,20000258,34,3,5,5,-149,-15,4.266666667,1,2022-10-09
320,20000258,44,4,3,3,237,40,11.433333333,1,2022-10-09
318,20000258,32,3,3,5,123,-15,4.766666667,1,2022-10-09
322,20000258,37,4,5,5,-176,-15,6.583333333,0,2022-10-09
323,20000258,20,4,1,4,0,0,6.066666667,1,2022-10-09
324,20000258,20,4,1,4,0,0,1.4,1,2022-10-09
312,20000258,45,2,1,2,32,257,3.666666667,0,2022-10-09
311,20000258,20,2,1,4,0,0,5.383333333,1,2022-10-09
310,20000258,35,2,5,5,-92,127,5.8,0,2022-10-09
309,20000258,35,2,3,5,123,89,8.1,1,2022-10-09
308,20000258,35,3,1,5,-44,148,10.683333333,0,2022-10-09
316,20000258,20,3,1,4,0,0,9.35,0,2022-10-09
326,20000267,36,1,1,5,-4,167,4.616666667,1,2022-10-09
325,20000267,38,1,2,5,102,160,10.9,0,2022-10-09
343,20000267,42,4,5,6,-225,-21,3.7,0,2022-10-09
330,20000267,20,2,1,4,0,0,9,1,2022-10-09
331,20000267,38,2,3,5,180,4,7.95,1,2022-10-09
332,20000267,35,2,3,5,159,0,6.033333333,0,2022-10-09
333,20000267,20,2,1,4,0,0,1.233333333,0,2022-10-09
334,20000267,22,2,1,4,-18,21,0.1166666667,0,2022-10-09
335,20000267,20,3,1,4,0,0,11.666666667,1,2022-10-09
336,20000267,43,3,3,3,231,-4,10.983333333,1,2022-10-09
337,20000267,24,3,1,1,0,21,8.466666667,0,2022-10-09
338,20000267,36,3,2,5,96,139,3.516666667,1,2022-10-09
339,20000267,37,3,4,5,-60,167,2.566666667,0,2022-10-09
340,20000267,43,3,5,6,-231,-4,0.4833333333,1,2022-10-09
329,20000267,34,1,3,5,144,0,2.1,1,2022-10-09
341,20000267,27,4,1,1,1,78,7.583333333,1,2022-10-09
328,20000267,24,1,1,1,1,49,3.166666667,0,2022-10-09
344,20000267,30,4,5,1,-73,78,2.15,1,2022-10-09
345,20000267,36,4,4,5,-60,156,1.083333333,0,2022-10-09
346,20000267,38,4,5,5,-189,4,0.3666666667,0,2022-10-09
347,20000267,45,4,1,5,30,251,0,0,2022-10-09
348,20000267,20,5,1,4,0,0,2.166666667,1,2022-10-09
349,20000267,35,5,5,5,-153,0,6.050956805,1,2022-10-09
327,20000267,36,1,5,5,-168,-21,3.633333333,0,2022-10-09
342,20000267,43,4,5,6,-231,4,5.916666667,0,2022-10-09
350,20000267,30,5,3,5,108,11,0.5666666667,1,2022-10-09
363,20000280,37,3,3,5,172,-2,10.766666667,0,2022-10-09
367,20000280,45,3,2,2,138,209,5.55,0,2022-10-09
371,20000280,34,4,5,5,0,21,2.15,0,2022-10-09
370,20000280,27,4,1,5,-1,72,11.116666667,0,2022-10-09
369,20000280,40,4,4,5,-71,192,11.783333333,0,2022-10-09
368,20000280,26,3,1,1,-58,17,40.116666667,0,2022-10-09
364,20000280,36,3,2,5,102,133,8.533333333,1,2022-10-09
365,20000280,32,3,1,1,-23,127,7.45,1,2022-10-09
366,20000280,38,3,2,5,123,144,6.266666667,0,2022-10-09
352,20000280,39,1,3,5,172,99,7.316666667,0,2022-10-09
351,20000280,26,1,1,1,26,55,8.45,1,2022-10-09
353,20000280,37,1,1,5,11,0,112.723333333,0,2022-10-09
354,20000280,39,1,2,5,75,175,1.85,1,2022-10-09
355,20000280,28,1,5,1,-50,68,0.1833333333,1,2022-10-09
356,20000280,38,2,3,5,186,-2,11.4,0,2022-10-09
357,20000280,20,2,1,4,0,0,9.483333333,1,2022-10-09
358,20000280,20,2,1,4,0,0,3,1,2022-10-09
359,20000280,39,2,1,5,159,116,2.5,0,2022-10-09
360,20000280,20,2,1,4,0,0,2.033333333,1,2022-10-09
361,20000280,40,3,1,5,60,192,11.566666667,0,2022-10-09
362,20000280,24,3,1,5,-44,13,11.033333333,0,2022-10-09
384,20000297,44,3,1,5,0,247,6.633333333,0,2022-10-09
372,20000297,41,1,2,5,123,181,10.7,1,2022-10-09
373,20000297,40,1,4,5,-130,160,9.35,0,2022-10-09
386,20000297,20,3,1,4,0,0,3.5,0,2022-10-09
375,20000297,47,1,4,2,-115,0,8.533333333,1,2022-10-09
376,20000297,37,1,2,5,132,0,7.983333333,1,2022-10-09
377,20000297,37,1,1,5,-170,40,6.8,0,2022-10-09
378,20000297,20,1,1,5,0,0,1.4,1,2022-10-09
379,20000297,56,1,1,2,-176,318,0,0,2022-10-09
380,20000297,34,2,1,5,66,127,10.633333333,1,2022-10-09
381,20000297,20,2,1,4,0,0,3.483333333,1,2022-10-09
382,20000297,37,3,2,5,102,137,8.766666667,1,2022-10-09
383,20000297,26,3,1,1,-10,61,7.7,1,2022-10-09
385,20000297,37,3,2,5,138,110,6.266666667,1,2022-10-09
374,20000297,20,1,1,4,0,0,9.266666667,1,2022-10-09
388,20000297,27,4,1,1,-1,78,10.966666667,0,2022-10-09
387,20000297,34,3,1,1,60,133,0.5333333333,0,2022-10-09
414,20000309,47,4,1,2,-71,270,0,0,2022-10-09
408,20000309,45,4,4,2,-130,219,4.833333333,1,2022-10-09
409,20000309,46,4,2,2,144,219,4.05,0,2022-10-09
410,20000309,46,4,4,2,-107,247,2.833333333,0,2022-10-09
411,20000309,28,4,5,5,-86,13,2.466666667,0,2022-10-09
412,20000309,33,4,5,5,-136,7,2.433333333,0,2022-10-09
413,20000309,28,4,5,1,-71,45,0.2,0,2022-10-09
403,20000309,39,3,2,5,81,175,7.45,0,2022-10-09
397,20000309,39,2,5,5,-197,28,5.216666667,0,2022-10-09
389,20000309,26,1,1,1,-23,61,10.833333333,0,2022-10-09
393,20000309,27,1,1,1,75,23,9.183333333,0,2022-10-09
394,20000309,20,1,1,4,0,0,4.283333333,0,2022-10-09
395,20000309,37,1,1,5,11,175,1.933333333,1,2022-10-09
396,20000309,20,2,1,4,0,0,6.283333333,1,2022-10-09
390,20000309,20,3,1,4,0,0,10.483333333,0,2022-10-09
398,20000309,20,2,1,4,0,0,4.183333333,1,2022-10-09
399,20000309,37,2,2,5,138,110,3.733333333,0,2022-10-09
400,20000309,49,2,1,2,11,291,2.583333333,0,2022-10-09
401,20000309,47,3,1,2,0,253,0.65,1,2022-10-09
402,20000309,36,3,2,5,110,127,11.766666667,0,2022-10-09
404,20000309,31,3,3,5,110,23,2.866666667,0,2022-10-09
405,20000309,26,3,1,1,32,0,0.8333333333,1,2022-10-09
406,20000309,47,4,1,2,153,0,6.85,1,2022-10-09
407,20000309,29,4,3,5,87,28,6.3,0,2022-10-09
392,20000309,20,1,1,4,0,0,9.733333333,1,2022-10-09
391,20000309,20,1,1,4,0,0,10.4,0,2022-10-09
420,20000320,28,2,3,5,81,15,10.4,0,2022-10-09
415,20000320,24,1,1,1,-27,34,3.866666667,1,2022-10-09
416,20000320,29,1,1,1,-27,91,0.6666666667,1,2022-10-09
417,20000320,20,1,1,4,0,0,0.2166666667,0,2022-10-09
418,20000320,20,3,1,4,0,0,0.03333333333,1,2022-10-09
431,20000320,20,4,1,4,0,0,1.05,1,2022-10-09
419,20000320,20,2,1,4,0,0,10.966666667,1,2022-10-09
421,20000320,28,2,3,5,81,4,9.1,1,2022-10-09
